state_code,county_code,site_number,pollutant_standard,date_local,co_ppm,aqi,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change,geometry,sample_date,year
08,031,0002,CO 1-hour 1971,2017-01-30,0.3375,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-30,2017
08,031,0002,CO 8-hour 1971,2017-01-30,0.35,7,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-30,2017
08,031,0002,CO 1-hour 1971,2017-01-31,0.441667,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-31,2017
08,031,0002,CO 8-hour 1971,2017-01-31,0.45,8,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-31,2017
08,031,0002,CO 1-hour 1971,2017-02-01,0.291667,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-01,2017
08,031,0002,CO 8-hour 1971,2017-02-01,0.3125,5,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-01,2017
08,031,0002,CO 1-hour 1971,2017-02-02,0.366667,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-02,2017
08,031,0002,CO 8-hour 1971,2017-02-02,0.35,6,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-02,2017
08,031,0002,CO 1-hour 1971,2017-02-03,0.454167,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-03,2017
08,031,0002,CO 8-hour 1971,2017-02-03,0.420833,8,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-03,2017
08,031,0002,CO 1-hour 1971,2017-02-04,0.225,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-04,2017
08,031,0002,CO 8-hour 1971,2017-02-04,0.2875,7,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-04,2017
08,031,0002,CO 1-hour 1971,2017-02-05,0.375,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-05,2017
08,031,0002,CO 8-hour 1971,2017-02-05,0.354167,5,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-05,2017
08,031,0002,CO 1-hour 1971,2017-02-06,0.322727,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-06,2017
08,031,0002,CO 8-hour 1971,2017-02-06,0.3625,7,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-06,2017
08,031,0002,CO 1-hour 1971,2017-02-07,0.404167,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-07,2017
08,031,0002,CO 8-hour 1971,2017-02-07,0.395833,8,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-07,2017
08,031,0002,CO 1-hour 1971,2017-02-08,0.2375,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-08,2017
08,031,0002,CO 8-hour 1971,2017-02-08,0.233333,3,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-08,2017
08,031,0002,CO 1-hour 1971,2017-02-09,0.6125,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-09,2017
08,031,0002,CO 8-hour 1971,2017-02-09,0.604167,10,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-09,2017
08,031,0002,CO 1-hour 1971,2017-02-10,0.368421,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-10,2017
08,031,0002,CO 8-hour 1971,2017-02-10,0.36875,6,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-10,2017
08,031,0002,CO 1-hour 1971,2017-02-11,0.420833,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-11,2017
08,031,0002,CO 8-hour 1971,2017-02-11,0.4625,9,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-11,2017
08,031,0002,CO 1-hour 1971,2017-02-12,0.295833,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-12,2017
08,031,0002,CO 8-hour 1971,2017-02-12,0.279167,5,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-12,2017
08,031,0002,CO 1-hour 1971,2017-02-13,0.458824,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-13,2017
08,031,0002,CO 8-hour 1971,2017-02-13,0.457143,7,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-13,2017
08,031,0002,CO 1-hour 1971,2017-02-14,0.520833,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-14,2017
08,031,0002,CO 8-hour 1971,2017-02-14,0.4875,8,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-14,2017
08,031,0002,CO 1-hour 1971,2017-02-15,0.258333,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-15,2017
08,031,0002,CO 8-hour 1971,2017-02-15,0.3125,7,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-15,2017
08,031,0002,CO 1-hour 1971,2017-02-16,0.5,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-16,2017
08,031,0002,CO 8-hour 1971,2017-02-16,0.429167,10,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-16,2017
08,031,0002,CO 1-hour 1971,2017-02-17,0.4125,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-17,2017
08,031,0002,CO 8-hour 1971,2017-02-17,0.4625,10,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-17,2017
08,031,0002,CO 1-hour 1971,2017-02-18,0.491667,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-18,2017
08,031,0002,CO 8-hour 1971,2017-02-18,0.45,8,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-02-18,2017
08,031,0002,CO 1-hour 1971,2017-02-19,0.345833,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-02-19,2017
